Air Temperature,Humidity,Wind Speed,Solar Radiation,temp_difference,temp_humidity,wind_ratio,wind_solar,air_temp_rolling_24h,humidity_rolling_24h,wind_speed_rolling_7h,solar_radiation_7h
19.4,73,1.3,2.0,3.1,1416.2,0.29,2.6,13.06,82.92,1.16,1.86
20.0,71,1.9,19.0,3.4,1420.0,0.26,36.1,13.45,82.08,1.19,4.29
20.3,71,1.4,81.0,3.4,1441.3,0.27,113.4,13.83,81.33,1.2,15.57
21.3,70,1.2,75.0,3.6,1491.0,0.25,90.0,14.26,80.5,1.26,26.0
19.0,89,1.8,20.0,1.2,1691.0,0.25,36.0,14.56,80.58,1.43,28.57
20.1,89,1.9,145.0,1.3,1788.9,0.49,275.5,14.88,80.67,1.54,49.0
21.2,86,2.8,205.0,1.6,1823.2,0.39,574.0,15.23,80.62,1.76,78.14
21.7,82,1.2,286.0,2.2,1779.4,0.25,343.2,15.6,80.46,1.74,118.71
22.3,78,1.4,685.0,2.6,1739.4,0.37,959.0,15.99,80.12,1.67,213.86
24.1,74,2.3,389.0,3.4,1783.4,0.35,894.7,16.46,79.62,1.8,257.86
26.6,71,1.8,396.0,4.1,1888.6,0.31,712.8,17.04,79.17,1.89,303.71
27.6,66,0.9,667.0,4.9,1821.6,0.19,600.3,17.64,78.58,1.76,396.14
26.7,71,1.1,85.0,4.0,1895.7,0.33,93.5,18.23,78.17,1.64,387.57
24.8,76,0.8,41.0,3.2,1884.8,0.26,32.8,18.75,77.92,1.36,364.14
23.4,81,2.0,79.0,2.4,1895.4,0.44,158.0,19.22,77.88,1.47,334.57
22.5,85,0.7,13.0,1.8,1912.5,0.19,9.1,19.65,78.0,1.37,238.57
23.3,81,0.7,0.0,2.4,1887.3,0.17,0.0,20.14,78.0,1.14,183.0
23.2,79,3.0,0.0,2.6,1832.8,0.47,0.0,20.6,78.04,1.31,126.43
22.8,83,2.6,0.0,2.1,1892.4,0.32,0.0,21.01,78.17,1.56,31.14
22.3,86,2.8,0.0,1.7,1917.8,0.43,0.0,21.42,78.25,1.8,19.0
22.2,84,1.6,0.0,1.9,1864.8,0.3,0.0,21.83,78.29,1.91,13.14
21.7,83,1.5,0.0,2.1,1801.1,0.31,0.0,22.15,78.42,1.84,1.86
21.6,83,1.8,0.0,2.1,1792.8,0.27,0.0,22.35,78.62,2.0,0.0
21.1,84,2.0,0.0,1.9,1772.4,0.51,0.0,22.47,79.0,2.19,0.0
20.9,85,2.1,0.0,1.8,1776.5,0.32,0.0,22.53,79.5,2.06,0.0
21.0,85,2.8,44.0,1.8,1785.0,0.34,123.2,22.57,80.08,2.09,6.29
21.3,83,2.0,150.0,2.0,1767.9,0.3,300.0,22.61,80.58,1.97,27.71
22.1,78,1.3,269.0,2.6,1723.8,0.23,349.7,22.65,80.92,1.93,66.14
23.4,73,1.1,358.0,3.6,1708.2,0.27,393.8,22.83,80.25,1.87,117.29
25.1,64,2.4,746.0,5.0,1606.4,0.35,1790.4,23.04,79.21,1.96,223.86
26.8,53,1.4,820.0,7.0,1420.4,0.3,1148.0,23.27,77.83,1.87,341.0
27.8,49,2.6,888.0,7.8,1362.2,0.29,2308.8,23.52,76.46,1.94,467.86
28.8,42,2.7,761.0,9.4,1209.6,0.28,2054.7,23.8,74.96,1.93,570.29
28.8,43,1.8,116.0,9.2,1238.4,0.33,208.8,23.99,73.67,1.9,565.43
29.4,37,1.8,940.0,10.5,1087.8,0.3,1692.0,24.11,72.25,1.97,661.29
21.0,53,4.8,121.0,6.0,1113.0,0.54,580.8,23.83,71.71,2.5,627.43
20.6,74,2.2,10.0,3.2,1524.4,0.39,22.0,23.58,71.83,2.47,522.29
21.5,73,1.4,8.0,3.2,1569.5,0.3,11.2,23.44,71.71,2.47,406.29
17.6,72,1.4,1.0,3.1,1267.2,0.38,1.4,23.2,71.33,2.3,279.57
18.4,71,0.7,1.0,3.3,1306.4,0.23,0.7,23.03,70.75,2.01,171.0
19.2,69,2.5,1.0,3.7,1324.8,0.47,2.5,22.86,70.25,2.11,154.57
19.7,67,2.8,0.0,3.9,1319.9,0.47,0.0,22.71,69.75,2.26,20.29
19.8,65,2.4,0.0,4.2,1287.0,0.42,0.0,22.59,69.0,1.91,3.0
20.0,63,3.2,0.0,4.5,1260.0,0.48,0.0,22.49,68.04,2.06,1.57
19.3,67,2.5,2.0,3.9,1293.1,0.42,5.0,22.37,67.33,2.21,0.71
19.0,66,2.1,0.0,4.0,1254.0,0.4,0.0,22.26,66.62,2.31,0.57
18.4,67,2.2,1.0,3.7,1232.8,0.32,2.2,22.12,65.96,2.53,0.57
18.7,66,2.2,24.0,4.0,1234.2,0.33,52.8,22.02,65.21,2.49,3.86
19.0,66,2.3,77.0,4.0,1254.0,0.39,177.1,21.95,64.42,2.41,14.86
19.8,65,2.5,183.0,4.2,1287.0,0.46,457.5,21.9,63.58,2.43,41.0
20.9,64,1.8,322.0,4.4,1337.6,0.36,579.6,21.88,62.79,2.23,87.0
22.5,61,1.6,421.0,5.1,1372.5,0.28,673.6,21.9,62.08,2.1,146.86
24.6,50,1.2,668.0,7.1,1230.0,0.35,801.6,21.95,61.12,1.97,242.29
26.6,40,1.5,734.0,9.1,1064.0,0.36,1101.0,22.01,60.12,1.87,347.0
27.5,38,1.4,459.0,9.8,1045.0,0.25,642.6,22.04,59.5,1.76,409.14
25.4,46,1.1,682.0,7.9,1168.4,0.35,750.2,21.94,59.38,1.59,495.57
27.5,41,1.0,578.0,9.2,1127.5,0.26,578.0,21.88,59.33,1.37,552.0
29.3,36,1.2,77.0,10.7,1054.8,0.31,92.4,21.9,59.04,1.29,517.0
28.3,46,0.9,77.0,8.4,1301.8,0.28,69.3,21.86,59.42,1.19,467.86
27.8,48,1.8,77.0,7.9,1334.4,0.25,138.6,22.14,59.21,1.27,383.43
27.3,51,1.4,77.0,7.4,1392.3,0.25,107.8,22.42,58.25,1.26,289.57
26.9,53,2.2,77.0,7.0,1425.7,0.29,169.4,22.65,57.42,1.37,235.0
26.1,55,1.7,77.0,6.5,1435.5,0.24,130.9,23.0,56.71,1.46,148.57
25.9,58,3.2,77.0,6.1,1502.2,0.39,246.4,23.31,56.17,1.77,77.0
25.7,58,2.9,0.0,6.0,1490.6,0.31,0.0,23.58,55.71,2.01,66.0
25.5,59,3.8,0.0,5.9,1504.5,0.45,0.0,23.82,55.38,2.43,55.0
25.0,61,2.2,0.0,5.4,1525.0,0.28,0.0,24.04,55.21,2.49,44.0
25.2,59,1.4,90.0,5.7,1486.8,0.17,126.0,24.26,55.04,2.49,45.86
25.5,61,3.4,241.0,5.5,1555.5,0.38,819.4,24.52,54.79,2.66,69.29
27.0,56,1.9,412.0,6.5,1512.0,0.27,782.8,24.85,54.38,2.69,117.14
28.3,53,2.9,586.0,7.1,1499.9,0.29,1699.4,25.26,53.79,2.64,189.86
29.4,51,2.7,320.0,7.7,1499.4,0.35,864.0,25.71,53.17,2.61,235.57
30.6,47,1.1,824.0,8.7,1438.2,0.21,906.4,26.19,52.38,2.23,353.29
32.7,43,1.2,912.0,10.0,1406.1,0.36,1094.4,26.73,51.46,2.09,483.57
32.9,40,1.4,810.0,10.6,1316.0,0.31,1134.0,27.23,50.46,2.09,586.43
22.4,67,1.0,791.0,4.3,1500.8,0.29,791.0,27.22,50.71,1.74,665.0
20.8,66,0.6,25.0,4.2,1372.8,0.29,15.0,27.07,51.38,1.56,609.71
19.2,70,1.4,136.0,3.4,1344.0,0.38,190.4,26.76,52.62,1.34,545.43
19.4,69,0.6,22.0,3.7,1338.6,0.22,13.2,26.42,53.92,1.04,502.86
22.1,62,0.3,0.0,4.9,1370.2,0.15,0.0,26.28,54.58,0.93,385.14
19.0,74,0.0,1.0,2.9,1406.0,0.0,0.0,25.93,55.96,0.76,255.0
17.8,82,1.4,1.0,2.0,1459.6,0.54,1.4,25.45,57.88,0.76,139.43
19.4,70,1.7,0.0,3.6,1358.0,0.53,0.0,25.08,58.88,0.86,26.43
17.2,84,0.5,1.0,1.7,1444.8,0.22,0.5,24.64,60.38,0.84,23.0
22.0,51,0.9,0.0,6.4,1122.0,0.26,0.0,24.42,60.38,0.77,3.57
23.4,49,1.2,0.0,6.9,1146.6,0.39,0.0,24.27,60.21,0.86,0.43
17.4,77,0.8,1.0,2.5,1339.8,0.31,0.8,23.91,61.12,0.93,0.57
15.8,79,0.0,2.0,2.2,1248.2,0.0,0.0,23.49,62.0,0.93,0.71
15.9,78,0.6,57.0,2.2,1240.2,0.24,34.2,23.08,62.83,0.81,8.71
15.5,81,1.1,73.0,2.0,1255.5,0.35,80.3,22.66,63.75,0.73,19.14
15.3,83,2.8,457.0,1.8,1269.9,0.65,1279.6,22.26,64.67,1.06,84.29
15.3,87,3.6,346.0,1.3,1331.1,0.68,1245.6,21.85,65.83,1.44,133.71
